Staat,Official languages,Population,Capital,Currency,Phone,Int.
Austria,German,8.4 million,Vienna,euro (EUR),43,.at
Belgium,"Dutch (north), French (south), German",11 million,Brussels,euro (EUR),32,.be
Bulgaria,Bulgarian,7 million,Sofia,Bulgarian lev (BGN),359,.bg
Croatia,Croatian,4.3 million,Zagreb,Croatian kuna (HRK),385,.hr
Cyprus,"Greek, Turkish",800 000,Nicosia,euro (EUR),357,.cy
Czech Republic,Czech,10 million,Prague,Czech koruna (CZK),420,.cz
Denmark,Danish,5.6 million,Copenhagen,Danish krone (DKK),45,.dk
Estonia,Estonian,1.3 million,Tallinn,euro (EUR),372,.ee
Finland,"Finnish, Swedish",5.4 million,Helsinki,euro (EUR),358,.fi/.ax
France,French,65 million,Paris,euro (EUR),33,.fr
Germany,German,82.5 million,Berlin,euro (EUR),49,.de
Greece,Greek,11 million,Athens,euro (EUR),30,.gr
Hungary,Hungarian,10 million,Budapest,Hungarian forint (HUF),36,.hu
Iceland,Icelandic,320 000,Reykjavik,Icelandic krona (ISK),354,.is
Ireland,"English, Irish",4.6 million,Dublin,euro (EUR),353,.ie
Italy,Italian,60.9 million,Rome,euro (EUR),39,.it
Latvia,Latvian,2 million,Riga,Latvian lats (LVL),371,.lv
Lichtenstein,German,36 300,Vaduz,Swiss franc (CHF),423,.li
Lithuania,Lithuanian,3 million,Vilnius,Lithuanian litas (LTL),370,.lt
Luxembourg,"French, German, Luxembourgish",524 000,Luxembourg,euro (EUR),352,.lu
Malta,"English, Maltese",450 000,Valletta,euro (EUR),356,.mt
Netherlands,Dutch,16.8 million,Amsterdam,euro (EUR),31,.nl
Norway,Norwegian,5 million,Oslo,Norwegian krone (NOK),47,.no
Poland,Polish,38.5 million,Warsaw,Polish ztoty (PLN),48,.pl
Portugal,Portuguese,10.5 million,Lisbon,euro (EUR),351,.pt
Romania,Romanian,19.1 million,Bucharest,Romanian leu (RON),40,.ro
Slovakia,Slovakian,5.4 million,Bratislava,euro (EUR),421,.sk
Slovenia,Slovenian,2 million,Ljubljana,euro (EUR),386,.si
Spain,Spanish,47 million,Madrid,euro (EUR),34,.es
Sweden,Swedish,9.5 million,Stockholm,Swedish krona (SEK),46,.se
Switzerland,"French, German, Italian, Romansh",8 million,Bern,Swiss franc (CHF),41,.ch
United Kingdom,English,63.2 million,London,Pound sterling,44,.uk
