Numeris,Seniūnija,Plotas,Gyventojų skaičius
1,Verkių seniūnija,"55,65 km²",49359
2,Antakalnio seniūnija,"77,2 km²",39758
3,Pašilaičių seniūnija,"8,2 km²",39543
4,Fabijoniškių seniūnija,"4,1 km²",38253
5,Pilaitės seniūnija,"13,8 km²",26376
6,Justiniškių seniūnija,"2,98 km²",26818
7,Viršuliškių seniūnija,"2,5 km²",14177
8,Šeškinės seniūnija,"4,4 km²",34084
9,Šnipiškių seniūnija,"3,12 km²",16657
10,Žirmūnų seniūnija,"8,5 km²",44028
11,Karoliniškių seniūnija,"4,0 km²",25770
12,Žvėryno seniūnija,"2,7 km²",13465
13,Grigiškių seniūnija,"7,1 km²",11592
14,Lazdynų seniūnija,"10,3 km²",31900
15,Vilkpėdės seniūnija,"10,3 km²",20472
16,Naujamiesčio seniūnija,"4,8 km²",30693
17,Senamiesčio seniūnija,"4,5 km²",21503
18,Naujosios Vilnios seniūnija,"39,3 km²",37372
19,Panerių seniūnija,"84,94 km²",10064
20,Naujininkų seniūnija,"41,1 km²",31407
21,Rasų seniūnija,"12,7 km²",11463
