Miestas,2019,2011,2001,1989,1979,1970,1959,1923,1897
Vilnius,540919,535631,542287,576747,475825,370153,236100,167400,154532
Kaunas,286763,315993,378650,419745,370000,305600,216850,92446,70920
Klaipėda,147898,162360,192954,202929,176648,140342,89500,35845,20100
Šiauliai,100119,109328,133883,145629,118724,92375,59700,21387,16128
Panevėžys,87148,99690,119749,126483,102303,74497,41100,19197,12968
Alytus,50421,59964,71491,73015,55509,28165,12300,6322,3445
Marijampolė,35253,44885,48675,50887,38824,29073,19621,9488,6737
Mažeikiai,32711,38819,42675,43547,25779,13313,7960,4300,1979
Jonava,26715,33172,34954,36520,28413,14563,5005,4115,5000
Utena,25496,31139,33860,34430,23461,13309,7200,4890,3200
Kėdainiai,23043,29824,32048,33840,27886,19795,10580,7415,6113
Tauragė,21685,26429,29124,30119,25966,19814,12041,5470,6600
Telšiai,21548,29107,31460,33351,26369,20145,13500,4691,6205
Ukmergė,20391,25866,28759,30410,26601,21284,14900,10604,13532
Visaginas,18185,26804,29554,32438,6212,0,0,0,0
Plungė,16945,22287,24436,22535,18829,13826,8700,4236,4500
Kretinga,16840,20748,21423,19516,16197,13091,9690,2532,3418
Palanga,15666,17234,17623,17571,11980,8091,5685,2000,2400
Radviliškis,15183,18436,20339,21263,19232,17118,12600,5464,3900
Šilutė,15109,19720,21476,21179,16000,12347,8900,4348,2100
Gargždai,13700,16281,15212,12511,10000,7520,1527,4700,3360
Druskininkai,12196,15544,18233,18943,12464,8315,5765,1000,1280
Rokiškis,11993,14937,16746,17826,13192,9376,5500,4325,2700
Elektrėnai,11276,12012,14050,15871,8466,6730,0,0,0
Kuršėnai,10924,11963,14197,14796,13223,11588,9100,2900,3200
Grigiškės,10764,10867,11448,11610,8259,5026,2578,0,0
Biržai,10300,12465,15262,15907,14401,11160,8624,5315,4413
Garliava,10067,11264,13322,12420,9418,5821,2499,936,1200
Lentvaris,10050,11105,11773,12694,10167,8235,4216,2000,385
Jurbarkas,9831,11232,13797,14310,10644,6541,4422,4409,7400
Raseiniai,9784,11203,12541,13211,11403,8946,6200,5270,7455
Vilkaviškis,9621,11547,13283,13829,11836,8452,5072,7263,5788
Anykščiai,8632,10575,11958,12758,10325,8250,5442,3500,3900
Prienai,8516,9867,11353,11909,9398,7550,5423,3260,2477
Joniškis,8358,9899,11329,11773,9303,7488,5889,4100,4828
Varėna,7987,9240,10845,12291,8015,4478,2401,407,2624
Kelmė,7655,9150,10900,11557,9073,6934,5140,2900,3914
Kaišiadorys,7486,8664,10002,10964,9022,4618,3011,1929,833
Naujoji Akmenė,7266,9300,12345,13590,14195,10127,5400,0,0
Šalčininkai,6753,6402,6722,6480,3857,1763,1676,687,459
Pasvalys,6490,7523,8709,9071,7370,5641,4248,2211,1699
Zarasai,6140,7349,8365,8916,7250,6624,4700,3785,6359
Kupiškis,6076,7833,8451,8786,6539,4876,4127,2672,3742
Kazlų Rūda,5666,6658,7401,7715,6312,4308,3478,1338,771
Širvintos,5584,6415,7273,7442,5146,3084,1652,2000,1676
Molėtai,5548,6433,7221,6843,5165,3700,1912,1770,2397
Pabradė,5435,5995,6525,7360,6655,5790,4489,1835,503
Skuodas,5289,6513,7896,8730,7269,4684,3131,3614,3041
Šakiai,5003,6051,6795,7226,5955,4223,2998,2044,2211
Ignalina,4923,6007,6591,6872,4927,3488,2466,1500,300
Švenčionėliai,4856,5950,6923,7712,6566,5979,4920,0,0
Šilalė,4728,5492,6281,6308,4242,2995,1972,1058,1502
Kybartai,4575,5631,6556,7064,6676,6435,6244,6300,2364
Vievis,4508,4915,5303,5663,4581,2963,2279,414,725
Nemenčinė,4502,5054,5892,5612,4075,3139,2081,0,420
Pakruojis,4407,5139,6057,6218,4809,3727,2427,1184,1420
Trakai,4238,4933,5725,6703,5763,4691,3100,0,3240
Švenčionys,4139,4980,5684,6469,5284,4617,4006,0,6025
Kalvarija,3858,4457,5090,5701,5879,5622,4698,4529,9378
Lazdijai,3700,4531,5140,5485,4364,3842,3109,2364,2538
Neringa,3464,3846,2386,2478,1990,1993,1468,0,0
Žiežmariai,3214,3607,3884,3523,2622,1734,1598,2346,2616
Rietavas,3207,3251,3979,4490,4072,3423,2882,1720,3000
Eišiškės,3071,3416,3765,3789,3467,3481,2532,2382,3196
Ariogala,2773,3208,3697,4033,3646,2919,2375,1197,2376
Šeduva,2541,2895,3400,3584,3347,3309,3253,3186,4474
Birštonas,2369,2554,3225,3537,2350,1518,1317,268,343
Akmenė,2363,2593,3140,3458,3075,2372,1801,1453,1501
Venta,2213,2392,3412,3827,3240,2537,1711,0,0
Rūdiškės,2030,2236,2559,2489,2249,2038,1483,0,0
Vilkija,1898,2131,2338,2629,2371,2286,1996,2068,2012
Tytuvėnai,1889,2302,2851,3058,3111,3161,2206,1164,1000
Viekšniai,1670,1938,2270,2410,2781,2748,2734,2024,2951
Ežerėlis,1637,1705,2051,2151,2060,1988,2189,132,0
Gelgaudiškis,1603,1761,2029,2724,2018,1732,1212,613,691
Pagėgiai,1579,1941,2393,2568,2696,2797,3436,1404,662
Kudirkos Naumiestis,1480,1732,1997,2061,2090,2486,2574,3067,4595
Skaudvilė,1453,1720,2140,2436,2465,2661,2723,1362,1390
Ramygala,1415,1581,1733,2018,2302,2113,1882,1329,1246
Žagarė,1366,1712,2312,2649,2918,3386,3800,4730,8285
Salantai,1360,1615,1942,2431,2086,2156,2321,1942,2446
Linkuva,1277,1679,1797,2025,1876,1950,2144,1851,2077
Simnas,1269,1514,1980,2313,1625,1716,1661,1549,1642
Priekulė,1246,1413,1725,1826,1864,1931,1823,1101,0
Veisiejai,1211,1430,1762,2079,1687,1450,1513,1295,1540
Baltoji Vokė,1052,1047,1073,1128,1009,1065,1086,0,0
Joniškėlis,1044,1201,1477,1585,1776,1871,2592,568,670
Jieznas,1023,1204,1476,1883,1854,1658,1803,1000,1255
Varniai,995,1140,1355,2028,2059,2027,1902,0,2834
Daugai,980,1120,1458,2790,2054,1384,1287,1153,1288
Seda,953,1138,1309,1500,1679,1821,2133,1851,2062
Subačius,892,1051,1180,1369,1361,1389,1216,0,750
Virbalis,885,1095,1351,1566,1635,1489,1429,4018,3293
Vabalninkas,875,1057,1328,1905,2205,2070,2360,1267,2333
Obeliai,847,1074,1371,1804,1648,1681,1907,1328,975
Dūkštas,765,888,1070,1193,1633,1444,1968,1076,1000
Pandėlys,752,809,1024,1167,1129,1184,1277,1000,1221
Užventis,649,833,898,1149,1229,1406,1704,0,945
Dusetos,560,717,914,1184,1357,1600,1806,1164,1278
Kavarskas,528,666,809,972,1113,1191,1287,1041,1546
Smalininkai,446,515,653,758,805,952,1100,1741,0
Troškūnai,372,451,525,672,1174,1417,1495,1252,1000
Panemunė,210,274,329,398,506,545,539,637,0
